Title,Price,Rating,Image,Ad/Organic
"Lenovo ThinkBook 16, Intel Core Ultra 9 185H, 16GB RAM, 512GB SSD, WUXGA IPS 16” (40.64cm), Win 11 Home, Arctic Grey, 1.7Kg, 21SKA0J5IG, Fingerprint, Backlit, 300 Nits, 1Y Warranty, AI Powered Laptop","94,990",5.0 out of 5 stars,https://m.media-amazon.com/images/I/511EukRBJzL._AC_UY218_.jpg,Ad
"Dell 15, R5-7520U Processor, 8GB LPDDR5 RAM, 512GB SSD, FHD 15.6""/39.62 cm Display, Windows 11 Home, Carbon Black, 1.63kg, Standard Keyboard, 15 Month McAfee, Thin & Light Laptop","53,990",N/A,https://m.media-amazon.com/images/I/71TyZ4JfBrL._AC_UY218_.jpg,Ad
"Acer Aspire One, Intel Core Celeron N4500, Office 2024 + M365 Basic, 12GB LPDDR4X RAM/ 256GB SSD, 14.0""/35.56cm TN HD Display, Win 11 Home, Pure Silver, 1.3KG, A114-45, Thin and Light Laptop","35,990",3.5 out of 5 stars,https://m.media-amazon.com/images/I/71I0Oo7W2-L._AC_UY218_.jpg,Organic
"EBook 11.6"" HD Laptop | Best Student & Office Work Laptop | Celeron N4020 | 4GB DDR4 | 128GB eMMC + M.2 SSD Expandable Slot | Win 11 Home |31Wh Battery | UHD Graphics 600 | Black","11,990",3.1 out of 5 stars,https://m.media-amazon.com/images/I/71F8TUSryhL._AC_UY218_.jpg,Organic
"HP Victus, Intel Core 5 210H, 4GB RTX 3050 A (24GB DDR5, 512GB SSD) FHD, 144Hz, 300 nits, IPS, 15.6''/39.6 cm, Win11, M365* Office24, Mica Silver, 2.29kg, fa2500TX, Backlit, Gaming Laptop","95,990",N/A,https://m.media-amazon.com/images/I/71M4eBe4l4L._AC_UY218_.jpg,Organic
"ASUS Vivobook 15, Intel Core i3 13th Gen 1315U, 12GB RAM, 512GB SSD, FHD 15.6"", Windows 11, Office Home 2024, Cool Silver, 1.7Kg, X1504VA-BQ331WS, Intel UHD iGPU, Thin & Light, 42Whrs Laptop","50,990",4.2 out of 5 stars,https://m.media-amazon.com/images/I/61tfPAwlPqL._AC_UY218_.jpg,Organic
"HP 15, 13th Gen Intel Core i3-1315U Laptop (8GB DDR4,512GB SSD) Anti-Glare, Micro-Edge,15.6''/39.6cm, FHD, Win11,M365 Basic(1yr),Office Home24, Silver,1.59kg, FHD Camera w/Privacy Shutter, fd0569TU","48,900",4.1 out of 5 stars,https://m.media-amazon.com/images/I/61R5Ecv7i-L._AC_UY218_.jpg,Organic
"acer SmartChoice Aspire Lite, AMD Ryzen 5-5625U Processor, 16 GB/512 GB, Full HD, 15.6""/39.62 cm, Windows 11 Home, Steel Gray, 1.59 kg, AL15-41, Metal Body, Thin and Light Laptop","45,990",4.0 out of 5 stars,https://m.media-amazon.com/images/I/718UBZxpxrL._AC_UY218_.jpg,Organic
"Acer Aspire Lite Intel Core 3-100U Processor, Office 2024 + M365 Basic, 8GB RAM/256GB SSD, 15.6""/39.62 cm, FHD IPS Display,Win 11 Home, Steel Grey, 1.59Kg, AL15-53, Thin and Light Laptop","63,999",N/A,https://m.media-amazon.com/images/I/517m2WrmJxL._AC_UY218_.jpg,Organic
"ASUS Vivobook 15, Smartchoice, AMD Ryzen 7 5825U, 16GB RAM, 512GB SSD, FHD 15.6"", Windows 11, Office Home 2024, Quiet Blue, 1.7Kg, M1502YA-BQ703WS, AMD Radeon iGPU, M365 Basic (1Year)*, 42Whr Laptop","54,990",4.0 out of 5 stars,https://m.media-amazon.com/images/I/71zMooVIVAL._AC_UY218_.jpg,Organic
